stuId,age,fatherName,motherName,firstName,lastName,registerTime
100001,53,Aron Tompson,Emma Tompson,Jimmy,Tompson,10-10-2018
100002,39,Jacob George,Isabella George,Sally,George,9-28-2017
100003,36,Ethan Edwen,Madison Edwen,Lizzy,Edwen,5-18-2018
100004,35,Joshua James,Olivia James,Markie,James,6-28-2018
100005,44,Alexander Dep,Mia Dep,Johnny,Dep,7-13-2018
100006,42,Christopher Higgins,Elizabeth Higgins,Bobby,Higgins,7-13-2016
100007,16,Jayden Hill,Addison Hill,Billy,Hill,9-15-2018
100008,28,Ryan Jane,Alyssa Jane,Evie,Jane,9-16-2018
100009,27,John Smith,Hannah Smith,Becky,Smith,10-1-2018
100010,23,Logan Christin,Alexis Christin,Jessie,Christin,10-2-2018
100011,18,Elijah Chan,Alyssa Chan,Jackie,Chan,10-8-2018
100012,22,Jonathan Florance,Ashley Florance,Laurie,Florance,9-21-2018
100013,17,Samuel Methew,Ella Methew,Cathey,Methew,9-19-2018
100014,63,Jack Tompson,Sarah Tompson,Millie,Tompson,10-1-2015
100015,16,William Jesus,Taylor Jesus,Ruthie,Jesus,9-12-2018
100016,15,James Mart,Grace Mart,Stanley,Mart,9-14-2018
100017,12,Tyler Mandery,Lily Mandery,Mary,Mandery,8-28-2018
100018,63,Luke Johns,Kylie Johns,Annie,Johns,8-17-2017
100019,11,Connor Karren,Brooke Karren,Karlly,Karren,10-3-2018
